CityName,Area,GreenAreaPerPers,Polycentricity,PopulationInCore,#Gov,#GovInCore,Population,Latitude,Longitude,GDP
Des Moines,9020.15,4685.52,1,70.56,70,17,207510,41.5739,-93.6167,40569.11
San Francisco,17089.9,23.22,2,69.76,93,62,837442,37.7751,-122.4193,568072.44
Toulon,1048.19,13.38,1,76.51,35,12,164532,43.124228,5.928,15205.29
Rotterdam,1480.0,70.68,1,58.43,36,5,539960,51.92442,4.477733,66510.33
Turin,1781.34,238.79,1,49.28,89,1,865263,45.070312,7.686856,67329.28
Louisville,9429.64,4020.98,1,85.57,161,85,609893,38.1781,-85.6667,61160.7
Adelaide,3239.1,28.47,2,86.88,109,87,1250795,-34.928621,138.599959,47478.78
Morelia,1935.06,188.08,1,84.47,4,1,597511,19.566519,-101.706829,8327.67
Zurich,1176.16,268.55,1,29.74,140,1,402275,47.36865,8.539183,77011.48
Kagoshima,762.65,12.2,1,86.31,3,1,605196,31.601431,130.563015,20471.94
San Antonio,19126.6,125.64,1,91.27,43,22,1409019,29.4724,-98.5251,88498.41
Bristol,807.31,114.18,1,53.23,4,1,420556,51.454513,-2.58791,34072.33
Sendai,1658.58,24.43,1,78.51,22,8,1029552,38.260297,140.882049,52093.55
Prague,3929.04,264.05,2,69.73,435,2,1285995,50.075538,14.4378,86433.96
Aguascalientes,2308.08,203.16,1,82.49,4,1,722250,21.881986,-102.291668,15768.23
Tallinn,4326.3,1469.15,1,75.04,28,1,396193,59.436961,24.753575,19514.66
Chicago,18910.46,411.29,1,96.53,540,226,2718782,41.8376,-87.6818,554230.82
Fukuoka,1153.78,6.44,1,80.96,29,16,1430371,33.590355,130.401716,83021.24
Melbourne,10103.28,34.27,2,86.44,281,236,4086734,-37.814107,144.96328,167012.33
Florence,1737.87,500.36,1,48.95,24,1,356118,43.76956,11.255814,32021.78
Berlin,6176.37,206.0,1,78.82,276,9,3421829,52.5170365,13.3888599,165376.72
Ulsan,726.67,54.9,1,90.17,51,44,1136948,35.538377,129.31136,76936.47
Seville,4164.31,13.16,1,55.96,42,2,704114,37.389092,-5.984459,37140.8
Ostrava,931.72,496.45,2,68.85,67,2,314590,49.820923,18.262524,13002.03
Fort Worth,4681.62,21.49,1,93.8,46,34,792727,32.7795,-97.3463,100680.69
Basel,1430.18,367.29,1,21.28,167,1,173960,47.567442,7.597551,41374.98
Lyon,3647.29,471.5,3,67.9,327,59,484344,45.764043,4.835659,87804.33
Toulouse,5242.14,166.76,1,56.64,434,37,441802,43.604652,1.444209,51905.7
Warsaw,8611.73,1022.32,1,56.62,101,12,1700612,52.229676,21.012229,138448.63
Durango,9185.1,204.06,1,100.0,1,1,518709,24.013998,-104.677679,7937.65
Charlotte,4016.56,691.96,1,69.76,25,7,792862,35.2087,-80.8307,98958.79
Santiago,4557.33,17.48,1,93.73,47,39,132804,16.714983,121.553715,164436.24
Mexicali,15813.24,7.62,1,100.0,1,1,689775,32.656793,-115.41553,15053.5
Guadalajara,2478.44,109.05,1,82.24,7,4,1495182,20.677504,-103.347824,68579.28
