,0,1
0,0,0
1,0,0
2,7,7
3,9,9
4,2,2
5,0,0
6,0,0
7,0,0
8,1,1
9,4,4
10,0,0
11,0,0
12,1,1
13,0,0
14,0,0
15,1,1
16,0,0
17,4,4
18,5,5
19,0,0
20,3,3
21,0,0
22,1,1
23,0,0
24,4,4
25,0,0
26,2,2
27,0,0
28,3,3
29,0,0
30,2,2
31,0,0
32,1,1
33,2,2
34,0,0
35,1,1
36,1,1
37,0,1
38,7,7
39,9,9
40,2,2
41,0,0
42,1,1
43,6,6
44,3,3
45,0,0
46,1,1
47,1,1
48,5,5
49,9,9
50,0,0
51,1,1
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,4,4
62,0,3
63,1,1
64,2,9
65,0,0
66,0,6
67,0,0
68,1,1
69,0,0
70,0,0
71,0,0
72,4,4
73,9,9
74,0,0
75,0,0
76,0,0
77,4,4
78,0,0
79,0,0
80,0,0
81,0,0
82,1,1
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,9,9
89,4,4
90,0,0
91,2,2
92,0,0
93,1,1
94,0,1
95,0,0
96,0,0
97,1,1
98,1,1
99,1,1
100,3,3
101,0,0
102,5,5
103,4,1
104,0,0
105,1,1
106,1,2
107,1,0
108,0,0
109,0,0
110,4,4
111,0,1
112,0,0
113,0,0
114,1,1
115,9,9
116,0,0
117,4,4
118,2,2
119,0,0
120,0,0
121,0,0
122,2,2
123,0,0
124,0,0
125,0,0
126,0,0
127,9,9
128,0,0
129,1,1
130,0,0
131,0,0
132,0,0
133,0,0
134,0,1
135,0,0
136,0,0
137,4,4
138,1,1
139,1,1
140,4,4
141,0,0
142,4,4
143,2,2
144,1,1
145,1,1
146,0,0
147,1,2
148,0,0
149,1,1
150,1,9
151,0,0
152,1,1
153,1,1
154,4,4
155,0,0
156,0,0
157,1,1
158,1,1
159,9,9
160,1,1
161,0,0
162,4,4
163,9,9
164,0,0
165,0,0
166,0,1
167,0,0
168,2,2
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,1,1
180,0,0
181,0,0
182,0,0
183,1,1
184,2,2
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,2,2
191,1,1
192,0,0
193,0,0
194,0,0
195,1,1
196,0,0
197,2,2
198,0,0
199,0,0
200,0,0
201,1,1
202,1,1
203,0,1
204,1,1
205,0,0
206,0,0
207,0,0
208,0,0
209,1,1
210,1,1
211,1,1
212,0,0
213,0,0
214,2,2
215,0,2
216,9,9
217,1,1
218,0,0
219,0,9
220,0,0
221,0,0
222,7,7
223,1,1
224,0,0
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,1,1
231,0,0
232,3,3
233,2,2
234,0,0
235,1,1
236,0,0
237,0,0
238,0,0
239,0,0
240,1,1
241,0,1
242,0,0
243,9,9
244,5,5
245,0,0
246,0,0
247,0,0
248,1,1
249,0,0
250,0,0
251,0,5
252,6,6
253,3,3
254,1,1
255,8,8
256,0,0
257,0,0
258,0,0
259,0,9
260,0,0
261,0,0
262,1,1
263,5,5
264,2,2
265,0,0
266,1,1
267,2,2
268,8,8
269,4,4
270,0,0
271,1,1
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,1,1
278,0,0
279,0,0
280,0,0
281,3,3
282,2,2
283,4,4
284,0,0
285,0,0
286,0,0
287,1,5
288,1,1
289,1,1
290,0,0
291,0,0
292,0,0
293,4,4
294,3,3
295,1,1
296,1,1
297,0,0
298,0,0
299,0,0
300,5,5
301,5,5
302,2,2
303,1,1
304,1,0
305,5,5
306,1,1
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,2,0
313,0,0
314,1,1
315,0,1
316,1,1
317,1,1
318,0,0
319,0,0
320,1,1
321,2,2
322,1,1
323,4,4
324,5,5
325,8,8
326,0,0
327,0,2
328,0,0
329,0,0
330,3,3
331,2,2
332,7,7
333,1,1
334,2,2
335,0,2
336,0,0
337,0,0
338,9,9
339,0,1
340,1,1
341,0,0
342,0,0
343,0,1
344,0,0
345,0,0
346,1,1
347,1,1
348,0,0
349,9,9
350,1,1
351,0,0
352,1,1
353,2,2
354,0,0
355,2,2
356,0,0
357,0,0
358,0,0
359,4,4
360,1,1
361,0,0
362,0,0
363,0,0
364,0,0
365,3,3
366,1,1
367,8,8
368,1,1
369,2,2
370,0,0
371,9,9
372,0,0
373,6,6
374,0,0
375,9,9
376,3,3
377,1,1
378,0,0
379,3,3
380,5,5
381,0,0
382,0,0
383,1,1
384,0,0
385,0,0
386,8,8
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,0,0
393,1,1
394,1,1
395,0,0
396,0,0
397,2,2
398,2,2
399,0,0
400,0,0
401,1,1
402,9,9
403,9,9
404,0,0
405,2,2
406,2,2
407,0,0
408,7,7
409,0,0
410,3,3
411,1,1
412,1,1
413,0,2
414,0,0
415,1,0
416,1,1
417,5,5
418,1,1
419,3,3
420,9,9
421,2,2
422,8,8
423,0,0
424,0,0
425,1,1
426,1,1
427,1,1
428,8,8
429,0,0
430,9,9
431,0,0
432,0,0
433,1,1
434,0,0
435,0,0
436,0,0
437,1,1
438,0,0
439,2,2
440,0,0
441,1,1
442,0,0
443,2,2
444,3,3
445,0,0
446,0,0
447,9,2
448,0,0
449,8,8
450,1,1
451,0,0
452,1,1
453,4,4
454,2,2
455,2,2
456,3,3
457,0,5
458,5,5
459,0,0
460,0,0
461,4,3
462,2,2
463,0,0
464,0,1
465,1,1
466,0,0
467,4,4
468,0,5
469,0,1
470,5,5
471,1,1
472,9,9
473,0,0
474,0,0
475,5,5
476,4,4
477,0,0
478,1,0
479,0,0
480,4,4
481,2,2
482,1,1
483,4,4
484,0,0
485,0,0
486,2,2
487,3,3
488,0,0
489,0,0
490,0,0
491,0,0
492,1,1
493,0,0
494,1,1
495,1,1
496,4,4
497,3,3
498,9,9
499,0,0
500,3,3
501,1,1
502,4,4
503,0,0
504,0,0
505,0,0
506,2,2
507,1,1
508,0,0
509,0,0
510,0,1
511,5,5
512,0,0
513,9,9
514,0,0
515,1,1
516,0,1
517,0,0
518,3,3
519,0,0
520,0,0
521,0,0
522,0,0
523,1,1
524,5,5
525,0,0
526,0,0
527,0,0
528,0,0
529,5,6
530,0,0
531,1,1
532,0,1
533,0,0
534,0,0
535,1,1
536,1,1
537,0,0
538,0,0
539,0,0
540,4,4
541,1,1
542,0,0
543,9,9
544,1,1
545,0,0
546,1,1
547,1,1
548,4,4
549,0,0
550,0,0
551,1,1
552,1,1
553,0,0
554,0,0
555,0,0
556,0,0
557,0,1
558,1,1
559,0,0
560,1,1
561,3,3
562,0,0
563,0,0
564,0,0
565,0,0
566,4,4
567,0,0
568,1,1
569,9,9
570,1,0
571,2,2
